,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
58,Magnus Mattsson,0.6,1.5,2.3,0.20,0.32,1.0,0.7,2023-2024,24,dk DEN,NEC Nijmegen,nl Eredivisie,19,1710,19.0,19,0,0,0.6,0.2,0.8,0.5,0.1,0.1,0.0,1.0,0.7,0.0,2.3,0.20,0.32,1.5,63.6,,MF,3a089320
59,Anders Dreyer,0.6,1.3,2.9,0.17,0.37,0.4,0.3,2023-2024,25,dk DEN,Anderlecht,be Belgian Pro League,37,2972,33.0,35,2,0,0.6,0.3,0.8,0.5,0.1,0.1,0.0,0.4,0.3,0.0,2.9,0.17,0.37,1.3,45.3,,FWMF,c6486b01
60,Andreas Skov Olsen,0.6,1.3,3.3,0.16,0.39,0.8,0.6,2023-2024,23,dk DEN,Club Brugge,2 Comps,40,2819,31.3,33,7,3,0.6,0.2,0.8,0.5,0.1,0.1,0.0,0.8,0.6,0.0,3.3,0.16,0.39,1.3,39.8,,MFFW,c50cee19
61,Guillermo Martínez Ayala,0.6,1.3,3.0,0.17,0.38,0.1,0.0,2023-2024,28,mx MEX,2 Teams,mx Liga MX,33,2506,27.8,29,4,0,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.17,0.38,1.3,44.0,,FW,59146354
62,Diber Cambindo,0.6,1.1,3.5,0.16,0.52,0.3,0.0,2023-2024,27,co COL,2 Teams,mx Liga MX,30,1885,20.9,23,7,1,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.3,0.0,0.0,3.5,0.16,0.52,1.1,31.5,,FW,48a6346d
63,Peque,0.6,1.1,2.2,0.14,0.28,1.1,0.3,2023-2024,20,es ESP,Racing Sant,es Segunda División,40,2834,31.5,34,6,1,0.6,0.1,0.7,0.3,0.3,0.3,0.0,1.1,0.3,0.0,2.2,0.14,0.28,1.1,52.2,,MF,cb971b4f
64,Diego Valdés,0.6,1.3,3.4,0.17,0.44,0.2,0.5,2023-2024,29,cl CHI,América,mx Liga MX,25,1733,19.3,20,5,0,0.6,0.3,0.8,0.6,0.0,0.0,0.0,0.2,0.5,0.0,3.4,0.17,0.44,1.3,37.9,,MF,e3cae82a
65,Evanilson,0.6,1.1,3.1,0.15,0.44,0.5,0.2,2023-2024,23,br BRA,Porto,pt Primeira Liga,27,2051,22.8,25,2,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.5,0.2,0.0,3.1,0.15,0.44,1.1,35.2,,FW,6f3cc2fe
66,Sylla Sow,0.6,1.5,2.3,0.25,0.39,0.8,0.2,2023-2024,26,nl NED,2 Teams,nl Eredivisie,33,1111,12.3,8,25,1,0.6,0.2,0.7,0.6,0.0,0.0,0.0,0.8,0.2,0.0,2.3,0.25,0.39,1.5,64.3,,FW,0032d3ad
67,Troy Parrott,0.6,1.4,3.0,0.19,0.42,0.3,0.1,2023-2024,21,ie IRL,Excelsior,nl Eredivisie,25,1588,17.6,18,7,1,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.3,0.1,0.0,3.0,0.19,0.42,1.4,45.3,,FW,4357f557
