,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
2981,Max Clark,England,Gillingham,eng League Two,DF,27.1,27.5,0.1,0.15000000000000002,0.05,0.11000000000000001,0.23500000000000001,0.1,0.9,31.0,2440.0,0.05,0.05,0.0,0.5,40.9,0.2,29.0,2.0,1.8,10.5,0.1,0.8,0.6,0.2
2982,Philipp Treu,Germany,St Pauli,de 2. Bundesliga,MFDF,24.3,22.5,0.1,0.15000000000000002,0.05,0.03,0.165,0.05,0.7,29.5,2189.5,0.0,0.0,0.0,0.8,19.9,0.15000000000000002,25.0,4.5,1.35,0.5,0.0,0.7,0.6,0.1
2983,Mees Akkerman,Netherlands,Jong Utrecht,nl Eerste Divisie,FWMF,14.700000000000001,18.5,0.15000000000000002,0.15000000000000002,0.1,0.07,0.21000000000000002,0.1,0.6,28.0,1327.0,0.0,0.0,0.0,1.05,33.2,0.35,16.5,11.5,1.0,5.0,0.1,0.7,0.9,0.3
2984,Óscar Mingueza,Spain,Celta Vigo,es La Liga,DFMF,31.799999999999997,24.5,0.15000000000000002,0.2,0.1,0.095,0.275,0.1,0.7,36.0,2863.5,0.0,0.0,0.0,0.9500000000000001,38.35,0.35,32.0,4.0,1.0,0.0,0.1,0.8,1.1,0.3
2985,Konstantinos Mavropanos,Greece,West Ham United,eng Premier League,DF,19.7,25.5,0.0,0.05,0.05,0.04,0.165,0.05,1.5499999999999998,26.0,1772.5,0.0,0.0,0.0,0.75,26.4,0.2,18.5,7.5,0.95,6.5,0.0,1.7,0.8,0.2
2986,Dino Štiglec,Croatia,Gorica,hr Hrvatska NL,DF,22.0,32.5,0.2,0.2,0.05,0.085,0.25,0.05,0.9,25.5,1981.5,0.0,0.0,0.0,0.45,36.65,0.15000000000000002,22.0,3.5,0.55,7.0,0.0,0.9,0.5,0.2
2987,Andrés García,Spain,Levante,es Segunda División,DFMF,20.85,20.5,0.15000000000000002,0.2,0.1,0.105,0.385,0.1,0.7,26.5,1878.0,0.0,0.0,0.0,0.9500000000000001,29.15,0.30000000000000004,21.5,5.0,1.5,6.0,0.1,0.9,0.8,0.2
2988,Álvaro Tejero,Spain,Eibar,es Segunda División,DF,23.6,27.5,0.25,0.35,0.1,0.055,0.225,0.1,1.0,32.0,2121.5,0.0,0.0,0.0,1.2,23.95,0.3,23.5,8.5,0.4,4.5,0.1,0.9,1.2,0.3
2989,Ilya Samoshnikov,Russia,Loko Moscow,ru Russian Premier League,MFDF,19.2,25.5,0.1,0.25,0.15000000000000002,0.08499999999999999,0.32,0.15000000000000002,0.6499999999999999,26.0,1729.0,0.0,0.0,0.0,1.35,29.6,0.4,19.0,7.0,1.6,0.5,0.2,0.6,1.5,0.4
2990,Aiden O'Neill,Australia,Standard Liège,be Belgian Pro League,MF,20.95,25.5,0.0,0.05,0.05,0.045,0.125,0.05,0.95,25.0,1886.0,0.0,0.0,0.0,0.6499999999999999,21.349999999999998,0.1,20.5,4.5,1.55,0.5,0.0,1.0,0.6,0.0
2991,Alessandro Bianco,Italy,Reggiana,it Serie B,MF,31.3,20.5,0.0,0.05,0.05,0.05,0.185,0.05,0.8500000000000001,35.0,2814.5,0.0,0.0,0.0,0.95,26.25,0.25,32.0,3.0,1.0,1.0,0.0,0.8,0.9,0.2
2992,Danny Bakker,Netherlands,Telstar,nl Eerste Divisie,DFMF,26.799999999999997,28.5,0.05,0.15000000000000002,0.15000000000000002,0.13,0.41000000000000003,0.15000000000000002,1.75,29.0,2412.0,0.0,0.0,0.0,0.8,35.45,0.3,27.5,1.5,1.2000000000000002,0.5,0.2,1.4,1.1,0.5
2993,Andrea Masiello,Italy,FC Südtirol,it Serie B,DF,23.7,37.5,0.05,0.1,0.05,0.09,0.25,0.05,1.5499999999999998,25.0,2133.0,0.0,0.0,0.0,0.25,34.849999999999994,0.1,24.0,1.0,1.15,3.5,0.0,1.7,0.2,0.1
