,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min▼,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
67,Gustaf Nilsson,0.6,1.3,3.0,0.13,0.30,0.4,0.3,2023-2024,26,se SWE,Union SG,be Belgian Pro League,35,2290,25.4,26,9,1,0.6,0.2,0.8,0.4,0.2,0.2,0.0,0.4,0.3,0.0,3.0,0.13,0.30,1.3,42.9,,FW,a7d48b00
68,Che Adams,0.6,1.2,3.1,0.20,0.52,0.5,0.1,2023-2024,27,sct SCO,Southampton,eng Championship,40,2289,25.4,25,15,2,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.5,0.1,0.0,3.1,0.20,0.52,1.2,39.2,,FWMF,f2bf1b0f
69,Jean-Philippe Mateta,0.6,1.1,1.8,0.30,0.48,0.6,0.2,2023-2024,26,fr FRA,Crystal Palace,eng Premier League,35,2282,25.4,25,10,2,0.6,0.2,0.8,0.6,0.1,0.1,0.0,0.6,0.2,0.0,1.8,0.30,0.48,1.1,63.0,,FW,50e6dc35
70,Cyriel Dessers,0.6,1.9,4.1,0.16,0.33,0.2,0.1,2023-2024,28,ng NGA,Rangers,sct Scottish Premiership,35,2274,25.3,27,8,3,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.2,0.1,0.0,4.1,0.16,0.33,1.9,46.6,,FW,dcb38abe
71,Jordan Rhodes,0.6,1.2,2.9,0.16,0.39,0.3,0.2,2023-2024,33,sct SCO,2 Teams,2 Comps,29,2273,25.3,27,2,1,0.6,0.1,0.7,0.5,0.1,0.2,0.0,0.3,0.2,0.0,2.9,0.16,0.39,1.2,41.9,,FW,3b8b641c
72,Ali Al Hamadi,0.7,1.9,4.1,0.15,0.33,0.4,0.1,2023-2024,21,iq IRQ,2 Teams,2 Comps,37,2257,25.1,23,14,2,0.7,0.2,0.9,0.6,0.0,0.2,0.1,0.4,0.1,0.0,4.1,0.15,0.33,1.9,46.2,,FW,8450467d
73,Alexander Isak,0.8,1.7,3.1,0.21,0.37,0.0,0.2,2023-2024,23,se SWE,Newcastle United,eng Premier League,30,2255,25.1,27,3,1,0.8,0.1,0.9,0.6,0.2,0.2,0.0,0.0,0.2,0.0,3.1,0.21,0.37,1.7,55.1,,FW,8e92be30
74,Gorka Guruzeta,0.6,1.3,2.6,0.22,0.45,0.9,0.6,2023-2024,26,es ESP,Athletic Club,es La Liga,32,2217,24.6,30,2,1,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.9,0.6,0.0,2.6,0.22,0.45,1.3,47.7,,FW,6b5ea2f4
75,Serhou Guirassy,1.1,1.8,3.7,0.26,0.53,0.1,0.2,2023-2024,27,gn GUI,Stuttgart,de Bundesliga,28,2208,24.5,25,3,0,1.1,0.1,1.3,1.0,0.2,0.2,0.0,0.1,0.2,0.0,3.7,0.26,0.53,1.8,49.5,,FW,923f4dda
76,Andrej Kramarić,0.6,1.4,2.8,0.14,0.29,0.1,0.4,2023-2024,32,hr CRO,Hoffenheim,de Bundesliga,30,2199,24.4,25,5,1,0.6,0.2,0.9,0.4,0.2,0.2,0.0,0.1,0.4,0.0,2.8,0.14,0.29,1.4,49.3,,MFFW,603cb947
77,Michael Mellon,0.7,1.6,3.5,0.15,0.33,0.3,0.1,2023-2024,19,sct SCO,2 Teams,2 Comps,36,2193,24.4,23,13,3,0.7,0.1,0.8,0.5,0.1,0.1,0.0,0.3,0.1,0.0,3.5,0.15,0.33,1.6,45.3,,FW,30f848b8
78,Adam Taggart,0.8,2.1,5.1,0.16,0.40,0.1,0.1,2023-2024,30,au AUS,Perth Glory,au A-League Men,25,2189,24.3,25,0,0,0.8,0.1,0.9,0.8,0.0,0.0,0.0,0.1,0.1,0.0,5.1,0.16,0.40,2.1,40.0,,FW,2c7d02e5
79,Žan Celar,0.6,1.3,3.3,0.15,0.38,0.2,0.1,2023-2024,24,si SVN,Lugano,ch Swiss Super League,36,2183,24.3,23,13,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.2,0.1,0.0,3.3,0.15,0.38,1.3,40.0,,FW,868c6958
80,Kylian Mbappé,1.1,2.5,5.0,0.18,0.36,0.0,0.1,2023-2024,24,fr FRA,Paris Saint-Germain,fr Ligue 1,29,2158,24.0,24,5,2,1.1,0.3,1.4,0.9,0.3,0.3,0.1,0.0,0.1,0.0,5.0,0.18,0.36,2.5,49.2,,FW,42fd9c7f
81,Borja Mayoral,0.6,1.1,2.0,0.23,0.41,0.2,0.1,2023-2024,26,es ESP,Getafe,es La Liga,27,2153,23.9,25,2,0,0.6,0.0,0.7,0.5,0.2,0.2,0.0,0.2,0.1,0.0,2.0,0.23,0.41,1.1,57.4,,FW,64e8ed6d
