full_name,position_group,actual_value,predicted_value,boosted_meta_pred,neural_meta_pred,abs_pct_error
Myziane Maolida,MID,2950000.000000002,3828424.4474199284,3946596.227994099,58255.53126858382,29.77709991253986
Kacper Potulski,DEF,950000.0000000008,1478797.7621499058,1479492.5980477422,1386185.4529704351,55.6629223315689
Tom Grivosti,DEF,275000.0000000002,228435.70866688792,228503.19799164456,219331.83446569045,16.93246957567717
David Zima,DEF,5250000.0,5066279.027853273,5050907.588548072,7697983.258181204,3.499447088509088
Francesco Bardi,GK,575000.0000000001,879492.115190203,880366.4307945454,767046.5207534718,52.95515046786136
Djevencio van der Kust,DEF,850000.0000000005,985451.2533887468,979415.8604218644,2295910.731687408,15.935441575146614
Willi Orban,DEF,17749999.999999993,17450972.794360366,17535544.068447605,8969242.335456172,1.684660313462687
Tyrell Malacia,DEF,5500000.000000001,8545169.868831715,8530154.127735619,10886298.901696347,55.36672488784933
Ibrahim Olawoyin,MID,1699999.9999999988,2153934.5127274613,2152622.7714566737,2342375.8946406916,26.702030160438987
Olivier Giroud,FWD,3149999.9999999995,2936602.525080932,2897789.564726682,18339113.54351889,6.774523013303738
Bradley Barcola,MID,65750000.0000001,80527472.3867869,81658004.96188922,11813017.016683552,22.47524317382019
Moritz Jenz,DEF,6749999.999999997,9092608.287567759,9086956.67022006,9905223.096626481,34.70530796396685
Robin Knoche,DEF,1625000.0000000012,1143644.1803803719,1150598.8095062717,496354.3554934635,29.621896591977166
Malachi Boateng,MID,974999.9999999999,961392.0856366708,961398.6272792845,960491.8868249042,1.395683524444007
Peter Therkildsen,DEF,649999.9999999995,791827.8611578379,796778.5970520881,335706.27359844523,21.819670947359764
Sergio Córdova,MID,1299999.9999999993,1190853.261354088,1194163.8746595355,812579.5377598447,8.395902972762407
Nordin Bukala,MID,737500.0000000005,967369.7802354303,969543.945510558,710168.4174940987,31.168783760736236
Matías Rocha,DEF,999999.9999999997,1057822.1259868015,1053135.874682398,1949323.1464092962,5.782212598680183
Keito Nakamura,MID,9500000.000000015,7817237.48754114,7780400.372771446,14978737.527666638,17.713289604830234
Elayis Tavşan,MID,1550000.0000000012,1968597.9937875299,1993752.591132946,342754.16578336415,27.00632217984054
Armand Laurienté,MID,19000000.000000015,24433918.417901244,24101284.525929898,161274377.64473525,28.59957062053276
Sebastian Schonlau,DEF,1650000.0000000007,1480821.9939897915,1485458.9126576188,962872.5269479499,10.253212485467222
